1637761008.996956,0
1637761009.101674,2
1637761009.205421,3
1637761009.310103,3
1637761009.413743,4
1637761009.516654,3
1637761009.620124,4
1637761009.723970,2
1637761009.826952,4
1637761009.930256,2
1637761010.037378,5
1637761010.141041,3
1637761010.245759,4
1637761010.349432,4
1637761010.452384,4
1637761010.555890,3
1637761010.658873,2
1637761010.762043,4
1637761010.865381,3
1637761010.970247,4
1637761011.074135,2
1637761011.178218,4
1637761011.282389,3
1637761011.385353,5
1637761011.489887,2
1637761011.594036,4
1637761011.699806,4
1637761011.803407,1
1637761011.908710,4
1637761012.017196,2
1637761012.135920,5
1637761012.249002,5
1637761012.354663,2
1637761012.464835,2
1637761012.570507,2
1637761012.676302,3
1637761012.780389,5
1637761012.884056,4
1637761012.989236,2
1637761013.093214,3
1637761013.196733,2
1637761013.301231,4
1637761013.408216,2
1637761013.511745,4
1637761013.615101,3
1637761013.726651,4
1637761013.830987,2
1637761013.934498,4
1637761014.046970,5
1637761014.155889,3
1637761014.261400,4
1637761014.386460,1
1637761014.525735,2
1637761014.632830,4
1637761014.736783,2
1637761014.844474,2
1637761014.948813,2
1637761015.055950,3
1637761015.159546,5
1637761015.264597,2
1637761015.379813,3
1637761015.483073,1
1637761015.589016,4
1637761015.693435,3
1637761015.796661,5
1637761015.900830,2
1637761016.007130,5
1637761016.110827,2
1637761016.214160,5
1637761016.316615,3
1637761016.419754,5
1637761016.523974,2
1637761016.627352,4
1637761016.730962,5
1637761016.834057,3
1637761016.937175,4
1637761017.041031,2
1637761017.148009,4
1637761017.251171,5
1637761017.355714,5
1637761017.459263,4
1637761017.562780,4
1637761017.666312,2
1637761017.769308,3
1637761017.872009,2
1637761017.975470,5
1637761018.079463,4
1637761018.184035,2
1637761018.288004,4
1637761018.390972,3
1637761018.499488,4
1637761018.603028,3
1637761018.707155,5
1637761018.810800,2
1637761018.916142,3
1637761019.021250,2
1637761019.125871,5
1637761019.229231,4
1637761019.333008,5
1637761019.437774,3
1637761019.540800,3
1637761019.643739,3
1637761019.747576,4
1637761019.856096,3
1637761019.965613,4
1637761020.106248,1
1637761020.210157,4
1637761020.313564,5
1637761020.416518,5
1637761020.519782,4
1637761020.623643,3
1637761020.727441,4
1637761020.830499,3
1637761020.934099,5
1637761021.038123,3
1637761021.149226,4
1637761021.267532,3
1637761021.381170,4
1637761021.484735,3
1637761021.588282,4
1637761021.691364,3
1637761021.795461,4
1637761021.898151,3
1637761022.001592,5
1637761022.106597,4
1637761022.210245,3
1637761022.314904,2
1637761022.418272,4
